name,category,subcategory,address,opened,closed,status,date_basis,landmark,replaced_predecessor,source,notes
Kulinarium,City Center Business,Restaurant,Piața Mică 12,2014,,Open,press,No,,https://bookingham.ro/insider/bucataria-romaneasca-reinterpretata-in-inima-sibiului/,"Romanian/German cuisine; opened spring 2014. A ""Bistro Kulinarium"" took over Cafe Einstein's spot (Piața Mică 13) in 2026"
Crama Sibiul Vechi,City Center Business,Restaurant,Strada Alexandru Papiu-Ilarian 3,~2011,,Open,review,Yes,,http://www.sibiulvechi.ro/en/,"Traditional Romanian in a 15th-c wine cellar; ~opened from earliest review"
Crama Sibiana,City Center Business,Restaurant,Piața Mică,~2014,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295393-d1995905.html,"Traditional cellar restaurant; low-confidence ~date, likely opened earlier"
La Turn,City Center Business,Restaurant,Piața Mare 1,~2014,,Open,review,Yes,,https://laturnsibiu.ro/,"Terraces onto both squares; low-confidence ~date, likely earlier; closed temporarily Nov 2021 then reopened"
La Taifas,City Center Business,Restaurant,Piața Mare,~2015,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295393-d8006261.html,Romanian specialties on the main square
Hochmeister delikat'essen,City Center Business,Restaurant,Piața Friedrich Schiller 9,~2016,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295393-d9974349.html,Transylvanian recipes off Piața Mare
Weinkeller (Pivnița de vinuri),City Center Business,Restaurant,Strada Turnului 2,~2010,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295393-d1957459.html,600-year-old wine-focused cellar
La Cuptor,City Center Business,Restaurant,Strada 9 Mai 7,~2016,,Open,review,No,,https://restaurantguru.com/La-Cuptor-Sibiu,Wood-fired-oven cooking
Consommé,City Center Business,Restaurant,Piața Mică,~2020,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295393-d18996890.html,"Seasonal bistro, weekly menu, terrace"
Insieme Ristorante,City Center Business,Restaurant,Piața Mică 7,~2015,,Open,review,No,,https://wolt.com/en/rou/sibiu/restaurant/insieme-piata-mica,"Italian; last review ~2025"
Ribs&Beer,City Center Business,Restaurant,Strada Nicolae Bălcescu,~2019,,Open,review,No,,https://restaurantguru.com/Ribs-and-Beer-Sibiu,Ribs & beer
Hermania,City Center Business,Restaurant,Strada Filarmonicii 2,~2010,,Open,review,Yes,,https://www.inyourpocket.com/sibiu,"Saxon/German/Romanian in the Baroque Philharmonic building; ~date corroborated by Foursquare"
Kombinat,City Center Business,Restaurant,Strada Berăriei,~2018,,Open,review,No,,https://www.inyourpocket.com/sibiu,"Neo-Romanian gastro-brewery, rooftop terrace (old-town fringe)"
Syndicat,City Center Business,Restaurant,Sibiu city center,~2014,,Uncertain,review,No,,https://restaurantguru.com/Syndicat-Gourmet-Sibiu,"International/fusion (Syndicat Gourmet); social/review signals suggest possibly closed — verify"
Benjamin Steakhouse & Bar,City Center Business,Restaurant,Sibiu city center,~2017,,Open,review,No,,https://www.benjaminsteakhouse.ro/,"Black Angus steakhouse; still reviewed 2026"
Restaurant Union,City Center Business,Restaurant,Piața Mică 6,1967,2024-03,Closed,press,No,,https://www.turnulsfatului.ro/2024/03/03/s-a-inchis-restaurantul-union-deschis-in-centrul-sibiului-din-1967-209406/,"One of the oldest central restaurants, open since 1967; closed March 2024"
Old Lisbon Sibiu,City Center Business,Restaurant (Portuguese),Piața Mică 6,2024-11,,Open,press,No,Restaurant Union,https://www.turnulsfatului.ro/2024/11/03/unionul-a-disparut-portughezul-i-a-luat-locul-215275,"Relocated into the former Union space, reopened early Nov 2024"
Max The Original,City Center Business,Restaurant,Strada Ocnei 22,2008,2025-01,Closed,press,No,Max by Piazzetta,https://www.turnulsfatului.ro/2025/01/16/s-a-inchis-restaurantul-max-the-original-217008,"Opened 2008; closed Jan 2025; successor ""Blür"" reported for mid-2026"
McDonald's Nicolae Bălcescu,City Center Business,Fast food,Bulevardul Nicolae Bălcescu,2018,,Open,press,No,La Plăcinte,https://www.oradesibiu.ro/2019/01/04/foto-mcdonalds-a-deschis-restaurantul-de-pe-nicolae-balcescu-la-sibiu/,"Opened late 2018 where La Plăcinte had operated"
La Plăcinte (Bălcescu),City Center Business,Restaurant/Fast food,Bulevardul Nicolae Bălcescu,,2017-11,Closed,press,No,,https://www.turnulsfatului.ro/2017/11/12/rdquo-la-placinte-rdquo-a-inchis-magazinul-de-pe-balcescu-94667,"Closed its Bălcescu location Nov 2017; site later became McDonald's"
Restaurant Pasaj,City Center Business,Restaurant,Strada Turnului 3A,,2026-03,Uncertain,press,No,,https://www.turnulsfatului.ro/2026/03/12/restaurantul-pasaj-ramane-inchis-temporar/,"Temporarily closed as of March 2026 (low winter footfall + change-of-use bureaucracy)"
Restaurant Weidner,City Center Business,Restaurant,Sibiu city center (Piața Mare area),,,Unknown,,No,,https://www.turnulsfatului.ro/2021/11/02/restaurantele-din-centrul-sibiului-se-inchid-unul-dupa-altul-186411,"Manager said Nov 2021 leaning toward shutting down (pandemic); final outcome unconfirmed"
Pardon Café & Bistro,City Center Business,Cafe,Strada Cetății 14,~2017,,Open,review,No,,https://www.sibiucityapp.ro/en/places/pardon-cafe-bistro-sibiu-8xfogyaqgyjp-g,"Bohemian café-bistro; low-confidence ~date, likely opened earlier"
Café Wien,City Center Business,Cafe,Piața Huet 4,~2012,,Open,review,No,,https://cafewien.ro/ro/,"Viennese-style café behind the Evangelical Cathedral"
Atrium,City Center Business,Cafe,Piața Mică 16,~2015,,Open,review,No,,https://atrium-piata-mica-16.menustic.com/,"Café/restaurant in Casa Luxemburg near the Bridge of Lies"
Lumos Coffee & Brunch,City Center Business,Cafe,Strada Mitropoliei 1,~2020,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295393-d19714247.html,Nordic-design brunch cafe
Hug the Mug,City Center Business,Cafe,Strada Nicolae Bălcescu 20,~2015,,Open,review,No,,https://foursquare.com/v/hug-the-mug/564ed7a6498e0ac91099d7a4,Coffee shop on the main pedestrian street
Meron Sibiu,City Center Business,Cafe,Piața Mare 7,2022-09-05,,Open,press,No,,https://www.meron.coffee/meron-sibiu/,"Third-wave specialty coffee & brunch; opened 5 Sep 2022"
Stravagante Caffe,City Center Business,Cafe,Strada Fuiorului 6,,,Open,,No,,https://wanderlog.com/list/geoCategory/17536/best-coffee-shops-and-best-cafes-in-sibiu,Cafe
Gogosh Coffee & Donuts,City Center Business,Cafe,Strada Radu Stanca 1,,,Open,,No,,https://wanderlog.com/list/geoCategory/17536/best-coffee-shops-and-best-cafes-in-sibiu,Coffee & donuts
Restaurant Baroc Cafe,City Center Business,Cafe,Piața Mică 28,~2014,,Open,review,No,,https://restaurantguru.com/Amber-Cafe-Sibiu,"Café/restaurant on the Small Square; ~date corroborated by Foursquare"
Geea Caffe,City Center Business,Cafe,Strada Avram Iancu 4,,,Open,,No,,https://wanderlog.com/list/geoCategory/17536/best-coffee-shops-and-best-cafes-in-sibiu,First-floor cafe
Amber Caffe X Restaurant Gothic,City Center Business,Cafe,Piața Mare 14,~2014,,Open,review,No,,https://restaurantguru.com/Amber-Cafe-Sibiu,"Café/restaurant on the main square; = Hotel Am Ring's restaurant"
Bobalicious Bubble Tea,City Center Business,Cafe,Piața Mare 8,,,Open,,No,,https://sibiucityapp.ro/en/places?cat_type=pub_caffe_bar,Bubble tea
