name,category,subcategory,area,notes
Piata Sfatului (Council Square),City Center Landmark,Square,Old Town,Main historic square with the Council House
Casa Sfatului (Council House),City Center Landmark,Museum,Old Town,Former town hall; houses the County History Museum
Biserica Neagra (Black Church),City Center Landmark,Church,Old Town,Largest Gothic church in Romania; landmark
Strada Republicii,City Center Landmark,Pedestrian street,Old Town,Main pedestrian promenade lined with shops and cafes
Strada Sforii (Rope Street),City Center Landmark,Pedestrian street,Old Town,One of the narrowest streets in Europe
Poarta Ecaterinei (Catherine's Gate),City Center Landmark,Historic gate,Old Town,Only surviving original medieval city gate
Poarta Schei (Schei Gate),City Center Landmark,Historic gate,Old Town,19th-century gate toward the Schei district
Bastionul Tesatorilor (Weavers' Bastion),City Center Landmark,Fortification,Old Town,Preserved bastion of the medieval city wall
Turnul Alb (White Tower),City Center Landmark,Fortification,Old Town,Hilltop watchtower with city views
Turnul Negru (Black Tower),City Center Landmark,Fortification,Old Town,Hilltop watchtower with city views
Prima Scoala Romaneasca (First Romanian School),City Center Landmark,Museum,Schei,Historic school and museum in the Schei quarter
Biserica Sfantul Nicolae,City Center Landmark,Church,Schei,Historic Orthodox church in Schei
Sergiana,City Center Business,Restaurant,Old Town,Traditional Romanian/Transylvanian cuisine
Casa Romaneasca,City Center Business,Restaurant,Old Town,Traditional Romanian restaurant
La Ceaun,City Center Business,Restaurant,Piata Sfatului,Traditional Romanian dishes on the main square
Bistro de l'Arte,City Center Business,Restaurant,Old Town,Well-known bistro near Piata Enescu
Taverna Sarbului,City Center Business,Restaurant,Old Town,Serbian/Balkan cuisine
Dei Frati,City Center Business,Restaurant,Old Town,Italian restaurant
Keller Steakhouse,City Center Business,Restaurant,Old Town,Steakhouse
Festival 39,City Center Business,Restaurant/Bar,Strada Republicii,Art Nouveau restaurant and bar
Deane's Irish Pub & Grill,City Center Business,Pub,Strada Republicii,Long-running Irish pub
Tipografia,City Center Business,Cafe,Old Town,Specialty coffee shop
Aro Palace,City Center Business,Hotel,Bd. Eroilor,Historic grand hotel
Hotel Bella Muzica,City Center Business,Hotel,Piata Sfatului,Boutique hotel on the main square
Casa Wagner,City Center Business,Hotel,Piata Sfatului,Boutique hotel in a historic building
Safrano Palace,City Center Business,Hotel,Old Town,Boutique hotel in the historic center
Coresi Shopping Resort,Mall,Shopping mall,Coresi (Tractorul),Largest mall in Brasov; part of the Coresi urban regeneration
AFI Brasov,Mall,Shopping mall,City center/west,Major mall with fashion brands and cinema
Eliana Mall,Mall,Shopping mall,Central,First shopping center in the city; cinema and trampoline park
Auchan Coresi,Mall,Hypermarket/retail,Coresi,Hypermarket and retail gallery
Kaufland (multiple),Mall,Hypermarket/retail,Various,Hypermarket chain locations across the city
Telecabina Tampa (Tampa Cable Car),Recreational Facility,Cable car,Tampa,Cable car up Mount Tampa above the old town
Muntele Tampa (Mount Tampa),Recreational Facility,Hiking,Tampa,Forested mountain with hiking trails and city viewpoint
Parc Aventura Brasov,Recreational Facility,Adventure park,Noua,Zipline and rope adventure park
Parcul si Lacul Noua,Recreational Facility,Park/lake,Noua,Recreational park with a lake and boating
Poiana Brasov,Recreational Facility,Mountain/ski resort,Poiana Brasov (~12 km),Main ski and mountain resort; slopes and gondola
Patinoarul Olimpic (Ice rink),Recreational Facility,Ice rink,Central,Olympic ice-skating rink
Dino Parc Rasnov,Recreational Facility,Theme park,Rasnov (~15 km),Large dinosaur theme park
Castelul Bran (Bran Castle),Touristic Area,Castle,Bran (~30 km),"""Dracula's Castle""; major tourist attraction"
Cetatea Rasnov (Rasnov Citadel),Touristic Area,Fortress,Rasnov (~15 km),Medieval hilltop peasant fortress
Castelul Peles (Peles Castle),Touristic Area,Castle,Sinaia (~45 km),Royal Neo-Renaissance palace
Biserica Fortificata Prejmer,Touristic Area,Fortified church,Prejmer (~18 km),UNESCO fortified Saxon church
Canionul Sapte Scari (7 Ladders Canyon),Touristic Area,Natural attraction,Muntii Piatra Mare (~30 km),Canyon with waterfalls and ladders
Parcul National Piatra Craiului,Touristic Area,National park,Zarnesti (~30 km),Mountain national park; hiking and gorges
Libearty Bear Sanctuary,Touristic Area,Wildlife sanctuary,Zarnesti (~30 km),Large brown bear rescue sanctuary
Viscri,Touristic Area,Village/fortified church,Viscri (~80 km),UNESCO Saxon village and fortified church
Sinaia,Touristic Area,Mountain resort,Sinaia (~45 km),Prahova Valley mountain resort
Predeal,Touristic Area,Mountain resort,Predeal (~25 km),Highest town in Romania; ski resort
Muntii Bucegi (Bucegi Mountains / Parcul Natural Bucegi),Touristic Area,Mountains/Natural park,Bucegi (~40 km via Sinaia/Busteni),"Major massif; Sphinx and Babele rock formations, hiking and cable cars"
Masivul Postavarul,Touristic Area,Mountains,Poiana Brasov (~12 km),Massif above Poiana Brasov; main ski slopes and gondola
Muntii Piatra Mare,Touristic Area,Mountains,SE of Brasov (~20 km),"Hiking, waterfalls, 7 Ladders Canyon"
Muntii Ciucas,Touristic Area,Mountains,E of Brasov (~50 km),Distinctive conglomerate peaks; hiking
Muntii Fagaras (eastern end),Touristic Area,Mountains,SW of Brasov,Highest range in Romania; alpine hiking
Cheile Rasnoavei (Rasnoava Gorge),Touristic Area,Natural attraction,Rasnov (~15 km),Limestone gorge popular for climbing and cycling
Rezervatia Tampa,Recreational Facility,Nature reserve,Tampa,Protected forest reserve on Mount Tampa above the old town
