Start Date,End Date,Event Name,Event Type,Impact Category,Positive or Negative,Importance (1-100),Description
2012-01-12,2012-06-30,2012 Anti-Austerity Protests,Social/Labor Unrest,Economic/Social,Negative,78,Widespread protests against tax hikes and austerity measures affecting workers and public sector employees
2013-09-01,2013-11-30,Roșia Montană Mining Protests,Environmental/Social Movement,Environmental/Social,Positive,85,Massive environmental protests in 50+ cities against Canadian gold mining project; successfully halted project
2015-10-30,2015-11-07,Colectiv Nightclub Fire,Tragedy/Disaster,Public Safety/Corruption,Negative,92,64 people died in nightclub fire in Bucharest; sparked massive anti-corruption protests leading to government resignation
2015-11-01,2015-11-09,Colectiv Protests (Aftermath),Social/Political Movement,Anti-Corruption,Positive,88,9-day nationwide protests following Colectiv fire; forced resignation of Prime Minister and government
2017-01-30,2017-03-31,"#Rezist ""Light Revolution"" Anti-Corruption Protests",Social/Political Movement,Anti-Corruption,Positive,90,500,000+ people protested against government corruption ordinance; largest protests since 1989 revolution
2018-08-10,2018-08-13,August 2018 Police Violence Protests,Social Unrest/Police Violence,Civil Rights,Negative,75,Hundreds injured in violent clashes between police and anti-corruption protesters in Bucharest
2020-02-26,2020-05-30,COVID-19 Pandemic Begins in Romania,Health Crisis/Pandemic,Public Health,Negative,88,First COVID-19 case confirmed on Feb 26; state of emergency declared March 16; massive public health crisis
2020-03-16,2020-05-30,COVID-19 Lockdown & State of Emergency,Health Crisis/Government Response,Public Health,Negative,80,Nationwide lockdown and restrictions imposed; economic disruption; healthcare system overwhelmed
2020-10-01,2021-11-30,COVID-19 Waves & Hospital Fires,Health Crisis/Infrastructure Failure,Public Health,Negative,87,Multiple waves of COVID-19; record deaths in October 2021 (385 in one day); 5 hospital fires in 2020-2021
2020-12-06,2020-12-07,2020 Parliamentary Elections,Electoral Event,Political,Mixed,70,Parliamentary elections held amidst COVID-19 pandemic; lowest turnout in post-communist Romania (32%)
2021-10-08,2021-10-08,COVID-19 Record Deaths Day,Health Crisis,Public Health,Negative,82,Romania records 385 COVID-19 deaths in single day; peak of fourth wave described as ""catastrophic""
2022-02-24,2022-12-31,Russia-Ukraine War Impact on Romania,Geopolitical Crisis,Security/Refugee Crisis,Mixed,85,Russian invasion of Ukraine; Romania becomes major refugee destination; NATO presence increases; strategic vulnerability
2022-02-26,2024-12-01,Ukrainian Refugee Crisis in Romania,Humanitarian Crisis/Refugee Intake,Humanitarian,Positive,78,Over 177,000 Ukrainian refugees hosted in Romania by December 2024; country provides significant aid and support
2022-08-11,2022-12-15,Ukrainian Mines Drift into Romanian Waters,Security Threat,National Security,Negative,65,Drifting Ukrainian sea mines pose deadly threat in Black Sea; Romanian navy on alert
2023-06-30,2024-03-31,2024 Election Preparations & Far-Right Rise,Political Development,Political,Mixed,68,Rise of far-right parties (AUR, SOS Romania) in opinion polls; concerns about democratic backsliding
2024-11-24,2024-11-24,2024 Presidential Election First Round,Electoral Event,Political,Negative,89,Far-right independent candidate Călin Georgescu unexpectedly wins first round; allegations of Russian interference
2024-12-06,2024-12-06,Constitutional Court Annuls 2024 Presidential Election,Constitutional Crisis,Political,Negative,95,Unprecedented decision to annul first-round election results citing Russian interference and electoral irregularities
2024-12-08,2025-05-26,2024-2025 Election Annulment Protests,Social/Political Crisis,Democratic Crisis,Mixed,92,Massive nationwide protests over election annulment; demands for government resignation and democratic reform
2025-02-12,2025-02-12,New Coalition Government Formed,Political Development,Political,Neutral,65,Liberal-led government under Ilie Bolojan replaces Socialist government; attempts to restore stability
2025-05-18,2025-05-18,Nicușor Dan Elected President,Electoral Event,Political,Positive,82,Pro-EU moderate Nicușor Dan elected president in May 2025 run-off; pro-European and anti-far-right victory
2025-12-10,2025-12-20,Anti-Judicial Corruption Protests,Social Movement,Anti-Corruption/Justice,Positive,75,December protests demanding resignation of high court officials; triggered by corruption revelations in justice system
2026-04-20,2026-04-20,Coalition Government Collapses,Political Crisis,Government Stability,Negative,80,PSD withdraws support for Liberal Prime Minister Ilie Bolojan after one year; political instability returns
2026-04-27,2026-05-31,Government Instability & EU Funding Risk,Political/Financial Crisis,Economic/Political,Negative,78,Coalition collapse threatens EU fund disbursement; Recovery Plan deadline at August 31, 2026 puts €11.4 billion at risk
2010-01-01,2010-12-31,Economic Recovery Period,Economic Development,Economic,Positive,62,Romania experiences post-2008 financial crisis recovery; GDP growth resumes after 2009 contraction
2014-07-01,2014-08-15,Caracal Serial Killer Murders,Crime/Disaster,Public Safety,Negative,72,Two young girls murdered by serial killer in Caracal; horrified public; exposed police inefficiencies
2019-01-01,2019-12-31,Anti-Corruption Campaign Peak,Anti-Corruption Movement,Anti-Corruption,Positive,75,DNA (National Anti-Corruption Directorate) continues high-profile prosecutions; brings down several politicians
2020-06-01,2020-11-30,Economic Contraction from COVID,Economic Crisis,Economic,Negative,70,COVID-19 causes 3.9% economic contraction in 2020; unemployment rises; business closures
2021-01-01,2021-05-31,Vaccine Rollout Begins,Public Health Intervention,Public Health,Positive,65,COVID-19 vaccination campaign begins; aims to control pandemic waves
2022-03-01,2022-12-31,Energy Crisis from Ukraine War,Economic Crisis,Economic,Negative,75,Spike in energy costs due to Ukraine war; high inflation; economic uncertainty for households
2024-04-01,2024-10-31,Pre-Election Polarization,Political Development,Political,Negative,72,Increasing political polarization; far-right rhetoric dominates discourse; democratic norms tested
2024-09-15,2024-11-23,Caracal Case Reopened,Crime/Justice,Public Safety/Justice,Mixed,68,Authorities reopen investigation into 2019 Caracal murders after public outcry; justice system accountability questioned
