name,category,subcategory,address,opened,closed,status,date_basis,landmark,replaced_predecessor,source,notes
Sergiana,City Center Business,Restaurant,Strada Mureșenilor 28,~2009,,Open,review,Yes,,https://www.tripadvisor.com/Restaurant_Review-g295394-d1473700.html,"Traditional Transylvanian; ~opened from earliest TripAdvisor review, still reviewed 2026"
La Ceaun,City Center Business,Restaurant,Piața Sfatului 11-12,~2013,,Open,review,No,,https://wanderlog.com/place/details/1005850/la-ceaun-piata-sfatului,"""Operating since 2013"" per aggregator"
Bistro de l'Arte,City Center Business,Restaurant,Piața George Enescu 11Bis,2000-12,,Open,press,No,,https://www.theworlds50best.com/discovery/Establishments/Romania/Bra%C8%99ov/Bistro-de-lArte.html,"Opened Dec 2000; in a late-16th-c former grain warehouse. Earliest review ~2010"
Bella Muzica,City Center Business,Restaurant,Piața Sfatului 19,~2010,,Open,review,Yes,,https://www.tripadvisor.com/Restaurant_Review-g295394-d662012.html,"In a ~400-year-old listed monument cellar; ~opened from earliest review (Apr 2010)"
Casa Românească,City Center Business,Restaurant,Piața Unirii 15,~2012,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d1106433.html,"Traditional Romanian by First Romanian School; ~opened from earliest review"
Gustări,City Center Business,Restaurant,Piața Sfatului 14,~2012,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d5445009.html,"Self-describes 30+ years; ~date is earliest review, real opening likely earlier"
Sub Tâmpa,City Center Business,Restaurant,Aleea Tiberiu Brediceanu,~2018,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d13420934.html,Contemporary Romanian under Mount Tâmpa
Dei Frati,City Center Business,Restaurant,Piața George Enescu 16,~2015,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d8652669.html,Italian
Prato Restaurant,City Center Business,Restaurant,Strada Michael Weiss 11,~2012,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d2264395.html,Mediterranean/Italian
Albert Social Bistro,City Center Business,Restaurant,Strada Republicii 38,~2014,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d6774975.html,European bistro
Trattorian Artisan Food,City Center Business,Restaurant,Strada Apollonia Hirscher 12,~2016,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d8853927.html,Italian
Keller Steak House,City Center Business,Restaurant,Strada Apollonia Hirscher 2,~2011,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d1106434.html,Steakhouse
Ursul Carpatin,City Center Business,Restaurant,Strada Michael Weiss 29,~2016,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d10619727.html,"Romanian; runs an influencer-scale TikTok (~254K)"
Butoiul Sasului,City Center Business,Restaurant,Strada Republicii 53-55,~2012,,Uncertain,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d1908701.html,"Saxon cellar restaurant; only ~11 reviews, a maps.me source flags it possibly closed — verify"
Casa Hirscher,City Center Business,Restaurant,Strada Apollonia Hirscher 12-14,~2010,,Open,review,Yes,Cerbul Carpatin,https://www.tripadvisor.com/Restaurant_Review-g295394-d1738723.html,"Mediterranean/French in the 1541-1547 Casa Negustorilor (Hirscher) building"
Haplea D'ale Gurii,City Center Business,Restaurant,Strada Michael Weiss,~2023,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d26678826.html,"Michael Weiss branch opened ~Oct 2023; brand older elsewhere in the city"
Brasserie Luther,City Center Business,Restaurant,Piața Sfatului,~2016,,Open,review,No,,https://www.tripadvisor.com/Restaurant_Review-g295394-d9885837.html,Brasserie + cocktails
Cupt'Or (Ursus tankerie),City Center Business,Restaurant/Beer,Piața Sfatului,2023-01,,Open,press,No,,https://bizbrasov.ro/2023/01/20/foto-prima-tankerie-ursus-din-brasov-s-a-deschis-in-piata-sfatului-la-cuptor/,First Ursus fresh-tank beer venue in Brașov (Jan 2023)
Caru' cu Bere Brașov (City Grill),City Center Business,Restaurant/Beer hall,Strada Apollonia Hirscher 12-14,,,Planned/Not open,,Yes,Cerbul Carpatin,https://bizbrasov.ro/2025/12/05/cerbul-carpatin-caru-cu-bere-restaurant-brasov/,"City Grill leased the former Cerbul Carpatin space in 2022; as of Dec 2025 works pushed to 2026, not yet open"
Cerbul Carpatin,City Center Business,Restaurant (former),Piața Sfatului 12-14,,2010s,Closed,press,Yes,,http://casasfatului.ro/2024/09/23/4054/,"Famed restaurant in the Hirscher building; ÎCCJ ruled July 2026 the building returns to the municipality"
