name,instagram_url,ig_followers,ig_posts,facebook_url,fb_followers,tiktok_url,tiktok_followers,tiktok_likes,other_social,as_of,source
Sergiana,https://www.instagram.com/restaurantsergiana/,~12K,,https://www.facebook.com/sergianarestaurant/,~22847,,,,,2026-08,google snippets
Bella Muzica,,,,https://www.facebook.com/BellaMuzicaBrasov/,~3482,,,,web bellamuzica.ro,2026-08,google snippets
Casa Românească,https://www.instagram.com/casaromaneascabrasov/,,,https://www.facebook.com/RestaurantCasaRomaneascaBrasov/,,,,,,2026-08,google snippets (counts not exposed)
Gustări,https://www.instagram.com/restaurant_gustari/,~689,,https://www.facebook.com/restaurant.gustari/,,,,,,2026-08,google snippets
Sub Tâmpa,https://www.instagram.com/subtampa/,~10K,~1608,https://www.facebook.com/subtampa/,,,,,web subtampa.com,2026-08,google snippets
Dei Frati,https://www.instagram.com/deifrati/,~14K,,https://www.facebook.com/Deifrati/,~20082,,,,,2026-08,google snippets
Prato,https://www.instagram.com/prato.restaurant/,,,https://www.facebook.com/restaurantprato/,~8529,,,,,2026-08,google snippets
Keller Steak House,https://www.instagram.com/kellerrestaurant/,,,https://www.facebook.com/kellerrestaurant/,~4498,,,,,2026-08,google snippets
Trattorian Artisan Food,,,,https://www.facebook.com/trattorianartisanfood/,~8400,,,,,2026-08,google snippets
Casa Hirscher,https://www.instagram.com/restaurant.casahirscher/,~3691,~380,https://www.facebook.com/casahirscher.brasov/,~4900,,,,,2026-08,google snippets
Deane's / O'Peter's Irish Pub,https://www.instagram.com/opetersbrasov/,~2999,~306,https://www.facebook.com/opetersbrasov,,,,,web deanes-pub.ro,2026-08,google snippets
Rockstadt,https://www.instagram.com/rockstadt.club/,~7203,,https://www.facebook.com/rockstadt/,~25K,,,,,2026-08,google snippets
Tipografia,https://www.instagram.com/tipografia.brasov/,~1851,,https://www.facebook.com/tipografia.brasov/,~10253,,,,,2026-08,google snippets
Meron Brașov,,,,https://www.facebook.com/meronbrasov/,~357,,,,brand IG @meron.coffee ~28K,2026-08,google snippets
Aro Palace,https://www.instagram.com/aro.palace/,~1952,,https://www.facebook.com/aropalacebrasov/,~5K,,,,rooftop IG @horizon_by_aropalace ~2844,2026-08,google snippets
Casa Wagner,,,,https://www.facebook.com/hotelcasawagnerbrasov/,~1920,,,,web casa-wagner.com,2026-08,google snippets
Bistro de l'Arte,https://www.instagram.com/bistrodelarte/,~16K,~1083,https://www.facebook.com/bistro.delarte/,~33143,,,,,2026-08,google snippets
Festival '39,https://www.instagram.com/festival39brasov/,,,https://www.facebook.com/pages/Festival-39/119253028138846/,,,,,permanently closed,2026-08,google snippets
Cupt'Or,https://www.instagram.com/cuptorbrasov/,~2784,~366,https://www.facebook.com/cuptorbrasov/,~8159,,,,,2026-08,google snippets
5 to go (Brașov),https://www.instagram.com/5.to.go.brasov/,~1986,,https://www.facebook.com/5togobrasov/,~1K,,,,"brand TikTok @fivetogo.official ~23.7K; brand IG @5togo ~31K",2026-08,google snippets
La Ceaun,https://www.instagram.com/ceaun.brasov,~1742,~451,https://www.facebook.com/laceaunpiata,,,,,alt IG @laceaunbrasov ~1117,2026-08,google snippet
Albert Social Bistro,https://www.instagram.com/albertsocialbistro,~1889,~378,,,,,,,2026-08,google snippet
Ursul Carpatin,https://www.instagram.com/ursul.carpatinbrasov,~106000,~6915,https://www.facebook.com/p/Restaurant-Ursul-Carpatin-Brasov-100095331593052,,https://www.tiktok.com/@ursulcarpatinbrasov,~254700,~9200000,owner-influencer branded (outlier),2026-08,google snippet
Haplea D'ale Gurii,https://www.instagram.com/haplea.d_ale.gurii,~4039,~703,https://www.facebook.com/Hapleadalegurii,,https://www.tiktok.com/@haplea.d_ale.gurii,~9635,~158700,,2026-08,google snippet
Brasseria,https://www.instagram.com/brasseriebrasov,~3135,,,,,,,,2026-08,google snippet
Musik Cafe,https://www.instagram.com/musikcafebrasov,,,https://www.facebook.com/musik.cafe.brasov,~2759,,,,,2026-08,google snippet
Book Coffee Shop,https://www.instagram.com/book.coffeeshop,~7761,~4992,https://www.facebook.com/bookcoffee.ro,~6145,,,,,2026-08,google snippet
Shake Coffee,https://www.instagram.com/shakecoffee_magazincucafea,~551,,https://www.facebook.com/ShakeCoffeeBrasov,~2248,,,,,2026-08,google snippet
CH9 Specialty Coffee,https://www.instagram.com/ch9specialtycoffee,~5373,~694,https://www.facebook.com/CH9SpecialtyCoffee,~8024,,,,,2026-08,google snippet
Nola coffeeshop,,,,https://www.facebook.com/NOLAcoffeeshop,~4023,,,,,2026-08,google snippet
tekafe,https://www.instagram.com/tekafe.coffeeshop,,,https://www.facebook.com/tekafecoffeeshop,,,,,reported closed,2026-08,google snippet
Velo Coffee - Cafe du Theatre,https://www.instagram.com/velocoffee_romania,~914,~343,https://www.facebook.com/Velocoffeebrasov,~3032,,,,,2026-08,google snippet
Shakespeare Coffee & Poetry,https://www.instagram.com/shakespeare.coffee.poetry,~1579,~58,https://www.facebook.com/p/Shakespeare-Coffee-Poetry-100086491106956,~588,,,,,2026-08,google snippet
Galleria Art & Coffee,https://www.instagram.com/galleria.artandcoffee,~1256,~548,https://www.facebook.com/galleriaartandcoffee,~613,,,,,2026-08,google snippet
Aftăr Stube,https://www.instagram.com/aftarstube,~2067,~1256,https://www.facebook.com/aftarstube,~3772,,,,,2026-08,google snippet
Gaura Dulce,,,,https://www.facebook.com/gauradulce.restaurant.brasov,~6221,,,,,2026-08,google snippet
Terroirs Boutique du Vin,https://www.instagram.com/terroirsboutiqueduvin,~1623,~278,https://www.facebook.com/terroirs.boutiqueduvin,,,,,,2026-08,google snippet
Opus 9,https://www.instagram.com/opus9bv,~1993,,https://www.facebook.com/opusnoua,~4317,,,,,2026-08,google snippet
Berăria Poftă sau Foame,https://www.instagram.com/poftasaufoame,~7077,~1489,https://www.facebook.com/BerariaPOFTAsauFOAME,,https://www.tiktok.com/@poftasaufoame,,,,2026-08,google snippet
Panner Maison Finesse,https://www.instagram.com/panner.maison,~22000,,https://www.facebook.com/pannerbrankery,~14614,,,,shared Bran+Brașov account,2026-08,google snippet
Safrano Palace,https://www.instagram.com/safrano.palace,~393,~164,https://www.facebook.com/safranopalace.ro,~1937,,,,,2026-08,google snippet
Pebs Concept,https://www.instagram.com/pebs_concept,~6892,~514,https://www.facebook.com/PebsConcept,~18923,,,,,2026-08,google snippet
Nature Gallery (Argin 925),https://www.instagram.com/naturegallerybrasov,~323,,https://www.facebook.com/nature.gallery.biju,~2382,,,,,2026-08,google snippet
King Art,,,,https://www.facebook.com/p/King-Art-Bra%C8%99ov-61568732608798,~17,,,,IG @officialkingart unconfirmed,2026-08,google snippet
